slo_violation_pct,cvar95_ms,p95_ms,p99_ms,mean_latency_ms,seed,policy,replica_seconds,scaling_actions,scenario,risk_budget_factor
0.006687242798353909,186.8770120826986,139.9094432124989,216.1741753587004,64.952298374481,101,cvar_safe,3872.0,44,risk_budget_0.50,0.5
0.10648148148148148,245.30114439794394,147.97958605286235,335.62812131592847,68.44786948728039,102,cvar_safe,4114.0,55,risk_budget_0.50,0.5
0.00205761316872428,171.24895386669834,132.17829339924918,194.10876818773085,63.246609027612294,103,cvar_safe,3697.0,31,risk_budget_0.50,0.5
0.09979423868312758,259.24712071013664,154.56194463442228,354.8214308543367,69.74112765544376,104,cvar_safe,3883.0,65,risk_budget_0.50,0.5
0.8724279835390947,303.3091236557112,155.8121784661694,473.2641039515071,72.22350994967603,105,cvar_safe,3870.0,58,risk_budget_0.50,0.5
0.00205761316872428,171.7430475481294,132.1185204151499,194.9713793709511,63.32550506031715,106,cvar_safe,3533.0,27,risk_budget_0.50,0.5
0.647119341563786,289.58719290087515,156.65093309838582,391.0185351956303,71.5290394874686,107,cvar_safe,3961.0,58,risk_budget_0.50,0.5
0.00205761316872428,172.35997296575755,133.0335475721107,195.11228908824532,63.49127757229699,108,cvar_safe,3552.0,21,risk_budget_0.50,0.5
0.013888888888888888,200.0430753692036,142.70928309101933,233.61799795506016,66.00660652373121,109,cvar_safe,4043.0,46,risk_budget_0.50,0.5
1.492283950617284,403.9329679687134,178.49948066052238,584.2516225621313,78.59090324227347,110,cvar_safe,4252.0,76,risk_budget_0.50,0.5
0.04681069958847737,222.95224598301397,145.70885913594068,276.88029466279073,67.2271623716697,111,cvar_safe,3746.0,49,risk_budget_0.50,0.5
1.1589506172839505,391.4705618369675,167.00794698739205,581.7222070331014,77.46847572851158,112,cvar_safe,4052.0,67,risk_budget_0.50,0.5
0.7067901234567902,318.1465413465151,162.14485848494675,398.3616517420821,73.16866640598067,113,cvar_safe,3920.0,65,risk_budget_0.50,0.5
0.07561728395061729,231.70174494380367,145.77000525180713,301.0966173431125,67.5035623814692,114,cvar_safe,3820.0,40,risk_budget_0.50,0.5
0.02160493827160494,214.3842952438263,148.9088561564593,260.6930705081318,67.24624180062006,115,cvar_safe,3858.0,53,risk_budget_0.50,0.5
0.006687242798353909,186.8871311887952,139.91678418757215,216.1741753587004,64.96410144920188,101,cvar_safe,3829.0,42,risk_budget_0.55,0.55
0.10648148148148148,245.30114439794394,147.97958605286235,335.62812131592847,68.44786948728039,102,cvar_safe,4105.0,53,risk_budget_0.55,0.55
0.00205761316872428,171.24895386669834,132.17829339924918,194.10876818773085,63.246609027612294,103,cvar_safe,3697.0,31,risk_budget_0.55,0.55
0.09979423868312758,259.24712071013664,154.56194463442228,354.8214308543367,69.74112765544376,104,cvar_safe,3849.0,62,risk_budget_0.55,0.55
0.8724279835390947,303.3091236557112,155.8121784661694,473.2641039515071,72.22350994967603,105,cvar_safe,3868.0,58,risk_budget_0.55,0.55
0.00205761316872428,171.7430475481294,132.1185204151499,194.9713793709511,63.32550506031715,106,cvar_safe,3533.0,27,risk_budget_0.55,0.55
0.647119341563786,289.58719290087515,156.65093309838582,391.0185351956303,71.5290394874686,107,cvar_safe,3929.0,54,risk_budget_0.55,0.55
0.00205761316872428,172.35997296575755,133.0335475721107,195.11228908824532,63.49127757229699,108,cvar_safe,3552.0,21,risk_budget_0.55,0.55
0.17901234567901236,249.11507660786765,150.09014441617865,332.227298120716,68.9264802022003,109,cvar_safe,4081.0,48,risk_budget_0.55,0.55
1.492283950617284,403.9329679687134,178.49948066052238,584.2516225621313,78.59090324227347,110,cvar_safe,4152.0,67,risk_budget_0.55,0.55
0.04681069958847737,222.95224598301397,145.70885913594068,276.88029466279073,67.2271623716697,111,cvar_safe,3746.0,49,risk_budget_0.55,0.55
1.1589506172839505,391.4705618369675,167.00794698739205,581.7222070331014,77.46847572851158,112,cvar_safe,4031.0,65,risk_budget_0.55,0.55
0.7067901234567902,318.1465413465151,162.14485848494675,398.3616517420821,73.16866640598067,113,cvar_safe,3885.0,63,risk_budget_0.55,0.55
0.07561728395061729,231.7025837501374,145.77000525180713,301.0966173431125,67.50478651858418,114,cvar_safe,3795.0,38,risk_budget_0.55,0.55
0.02160493827160494,214.3842952438263,148.9088561564593,260.6930705081318,67.24624180062006,115,cvar_safe,3822.0,47,risk_budget_0.55,0.55
0.006687242798353909,186.887192793167,139.91678418757215,216.1741753587004,64.9642039837133,101,cvar_safe,3775.0,38,risk_budget_0.60,0.6
0.10648148148148148,245.30114439794394,147.97958605286235,335.62812131592847,68.44786948728039,102,cvar_safe,4105.0,53,risk_budget_0.60,0.6
0.00205761316872428,171.24895386669834,132.17829339924918,194.10876818773085,63.246609027612294,103,cvar_safe,3697.0,31,risk_budget_0.60,0.6
0.09979423868312758,259.24712071013664,154.56194463442228,354.8214308543367,69.74112765544376,104,cvar_safe,3830.0,60,risk_budget_0.60,0.6
0.8724279835390947,303.30983879000786,155.8121784661694,473.2641039515071,72.22505936422151,105,cvar_safe,3821.0,54,risk_budget_0.60,0.6
0.00205761316872428,171.7430475481294,132.1185204151499,194.9713793709511,63.32550506031715,106,cvar_safe,3533.0,27,risk_budget_0.60,0.6
0.647119341563786,289.58719290087515,156.65093309838582,391.0185351956303,71.5290394874686,107,cvar_safe,3927.0,52,risk_budget_0.60,0.6
0.00205761316872428,172.35997296575755,133.0335475721107,195.11228908824532,63.49127757229699,108,cvar_safe,3552.0,21,risk_budget_0.60,0.6
0.17901234567901236,249.11507660786765,150.09014441617865,332.227298120716,68.9264802022003,109,cvar_safe,4081.0,48,risk_budget_0.60,0.6
1.492283950617284,403.9329679687134,178.49948066052238,584.2516225621313,78.59090324227347,110,cvar_safe,4152.0,67,risk_budget_0.60,0.6
0.04681069958847737,222.95224598301397,145.70885913594068,276.88029466279073,67.2271623716697,111,cvar_safe,3746.0,49,risk_budget_0.60,0.6
1.1589506172839505,391.4705618369675,167.00794698739205,581.7222070331014,77.46847572851158,112,cvar_safe,3974.0,59,risk_budget_0.60,0.6
1.4521604938271604,400.7630422469934,176.92784749988826,651.7806353168054,77.96418512382229,113,cvar_safe,3894.0,61,risk_budget_0.60,0.6
0.07561728395061729,231.7025837501374,145.77000525180713,301.0966173431125,67.50478651858418,114,cvar_safe,3795.0,38,risk_budget_0.60,0.6
0.02160493827160494,214.3842952438263,148.9088561564593,260.6930705081318,67.24624180062006,115,cvar_safe,3822.0,47,risk_budget_0.60,0.6
0.006687242798353909,186.8872001796622,139.91678418757215,216.1741753587004,64.96421238594493,101,cvar_safe,3737.0,34,risk_budget_0.70,0.7
0.10648148148148148,245.29970867829485,147.9776125939145,335.62812131592847,68.44540397200274,102,cvar_safe,4098.0,46,risk_budget_0.70,0.7
0.00205761316872428,171.24895386669834,132.17829339924918,194.10876818773085,63.246609027612294,103,cvar_safe,3697.0,31,risk_budget_0.70,0.7
0.09979423868312758,259.24801702204775,154.56194463442228,354.8214308543367,69.74281220581197,104,cvar_safe,3806.0,58,risk_budget_0.70,0.7
0.8724279835390947,303.30983879000786,155.8121784661694,473.2641039515071,72.22505936422151,105,cvar_safe,3825.0,48,risk_budget_0.70,0.7
0.00205761316872428,171.7430475481294,132.1185204151499,194.9713793709511,63.32550506031715,106,cvar_safe,3533.0,27,risk_budget_0.70,0.7
0.647119341563786,289.58719290087515,156.65093309838582,391.0185351956303,71.5290394874686,107,cvar_safe,3909.0,50,risk_budget_0.70,0.7
0.00205761316872428,172.35997296575755,133.0335475721107,195.11228908824532,63.49127757229699,108,cvar_safe,3552.0,21,risk_budget_0.70,0.7
0.18158436213991772,262.7371656308367,156.03353424689521,342.4811530258997,70.16068536428091,109,cvar_safe,4120.0,52,risk_budget_0.70,0.7
1.492283950617284,403.9329679687134,178.49948066052238,584.2516225621313,78.59090324227347,110,cvar_safe,4152.0,67,risk_budget_0.70,0.7
0.04681069958847737,222.95411864252256,145.70997721452966,276.88029466279073,67.22879711249328,111,cvar_safe,3693.0,47,risk_budget_0.70,0.7
1.1589506172839505,391.4705618369675,167.00794698739205,581.7222070331014,77.46847572851158,112,cvar_safe,3921.0,57,risk_budget_0.70,0.7
1.4521604938271604,400.7630422469934,176.92784749988826,651.7806353168054,77.96418512382229,113,cvar_safe,3863.0,59,risk_budget_0.70,0.7
0.07561728395061729,231.70251128422163,145.77000525180713,301.0966173431125,67.50465725229293,114,cvar_safe,3819.0,36,risk_budget_0.70,0.7
0.02160493827160494,214.3842952438263,148.9088561564593,260.6930705081318,67.24624180062006,115,cvar_safe,3805.0,45,risk_budget_0.70,0.7
0.006687242798353909,186.8872001796622,139.91678418757215,216.1741753587004,64.96421238594493,101,cvar_safe,3737.0,34,risk_budget_0.80,0.8
0.10648148148148148,245.29970867829485,147.9776125939145,335.62812131592847,68.44540397200274,102,cvar_safe,4070.0,42,risk_budget_0.80,0.8
0.00205761316872428,171.24895386669834,132.17829339924918,194.10876818773085,63.246609027612294,103,cvar_safe,3697.0,31,risk_budget_0.80,0.8
0.09979423868312758,259.24801702204775,154.56194463442228,354.8214308543367,69.74281220581197,104,cvar_safe,3806.0,58,risk_budget_0.80,0.8
0.8724279835390947,303.30983879000786,155.8121784661694,473.2641039515071,72.22505936422151,105,cvar_safe,3825.0,48,risk_budget_0.80,0.8
0.00205761316872428,171.7430475481294,132.1185204151499,194.9713793709511,63.32550506031715,106,cvar_safe,3533.0,27,risk_budget_0.80,0.8
0.647119341563786,289.58719290087515,156.65093309838582,391.0185351956303,71.5290394874686,107,cvar_safe,3909.0,50,risk_budget_0.80,0.8
0.00205761316872428,172.35997296575755,133.0335475721107,195.11228908824532,63.49127757229699,108,cvar_safe,3552.0,21,risk_budget_0.80,0.8
0.18158436213991772,262.7371656308367,156.03353424689521,342.4811530258997,70.16068536428091,109,cvar_safe,4077.0,44,risk_budget_0.80,0.8
1.492283950617284,403.9329679687134,178.49948066052238,584.2516225621313,78.59090324227347,110,cvar_safe,4093.0,61,risk_budget_0.80,0.8
0.04681069958847737,222.95414862202676,145.70997721452966,276.88029466279073,67.22893238451533,111,cvar_safe,3649.0,43,risk_budget_0.80,0.8
1.1589506172839505,391.4705618369675,167.00794698739205,581.7222070331014,77.46847572851158,112,cvar_safe,3906.0,55,risk_budget_0.80,0.8
1.4521604938271604,400.7630422469934,176.92784749988826,651.7806353168054,77.96418512382229,113,cvar_safe,3837.0,55,risk_budget_0.80,0.8
0.07561728395061729,231.70290970908331,145.77000525180713,301.0966173431125,67.50525488958539,114,cvar_safe,3777.0,30,risk_budget_0.80,0.8
0.02160493827160494,214.38464143025624,148.9088561564593,260.6930705081318,67.24686493619394,115,cvar_safe,3748.0,39,risk_budget_0.80,0.8
